case,scenario,productivity_a,productivity_b,need_a,need_b,equal_split
1,0,1000,1000,1800,1200,1000
2,0,1000,1000,1400,800,1000
3,0,1000,1000,1000,400,1000
4,0,1000,1000,700,200,1000
5,0,1000,1000,600,100,1000
1,1,1200,1800,1000,1000,1500
2,1,800,1400,1000,1000,1100
3,1,400,1000,1000,1000,700
4,1,200,700,1000,1000,450
5,1,100,600,1000,1000,350
